id,file,key_or_location,locale,surfaces_and_states,original,final,coverage_status,slop_finding,pattern_and_reason,repair,no_slop_verdict,exception_reason,verification_evidence
"sell-eyebrow:ar","src/content/landing.json","sell.eyebrow","ar","sell section","البيع عبر الإنترنت","البيع عبر الإنترنت","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-heading:en","src/content/landing.json","sell.heading","en","sell section","A Storefront that helps customers find products and check out with confidence.","A Storefront that helps customers find products and check out with confidence.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-heading:ar","src/content/landing.json","sell.heading","ar","sell section","واجهة متجر تساعد العملاء على العثور على المنتجات وإتمام الشراء بثقة.","واجهة متجر تساعد العملاء على العثور على المنتجات وإتمام الشراء.","reviewed","found","Unsupported reassurance: “بثقة” adds a generic outcome not stated by the English source.","Describe product discovery and checkout without the extra promise.","pass","","Source audit; rendered locale and state checks."
"sell-body:en","src/content/landing.json","sell.body","en","sell section","Give each Store a branded shopping experience, from search and product selection through cart, shipping, payment, confirmation, and post-purchase service.","Give each Store a branded shopping experience, from search and product selection through cart, shipping, payment, confirmation, and post-purchase service.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-body:ar","src/content/landing.json","sell.body","ar","sell section","امنح كل متجر تجربة تسوق بعلامته، من البحث واكتشاف المنتجات واختيار الخيارات إلى السلة والشحن وطريقة الدفع والتأكيد وخدمات ما بعد الشراء.","امنح كل متجر تجربة تسوق بعلامته، من البحث واكتشاف المنتجات واختيار الخيارات إلى السلة والشحن وطريقة الدفع والتأكيد وخدمات ما بعد الشراء.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-premise:en","src/content/landing.json","sell.premise","en","sell section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"sell-premise:ar","src/content/landing.json","sell.premise","ar","sell section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"sell-detail-1:en","src/content/landing.json","sell.details.sell-detail-1","en","sell detail disclosure or source inventory","Bilingual Storefront foundations with native RTL/LTR layouts; complete localization across every admin and customer workflow remains subject to deployment verification.","Bilingual Storefront foundations with native RTL/LTR layouts; complete localization across every admin and customer workflow remains subject to deployment verification.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-1:ar","src/content/landing.json","sell.details.sell-detail-1","ar","sell detail disclosure or source inventory","أساس ثنائي اللغة لواجهة المتجر مع اتجاه أصلي من اليمين إلى اليسار ومن اليسار إلى اليمين؛ وتظل الترجمة الكاملة لكل مسارات الإدارة والعملاء خاضعة للتحقق في النسخة المنشورة.","أساس ثنائي اللغة لواجهة المتجر مع اتجاه أصلي من اليمين إلى اليسار ومن اليسار إلى اليمين؛ وتظل الترجمة الكاملة لكل مسارات الإدارة والعملاء خاضعة للتحقق في النسخة المنشورة.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-2:en","src/content/landing.json","sell.details.sell-detail-2","en","sell detail disclosure or source inventory","Configurable announcement bar, navigation, hero banners, social links, and layout.","Configurable announcement bar, navigation, hero banners, social links, and layout.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-2:ar","src/content/landing.json","sell.details.sell-detail-2","ar","sell detail disclosure or source inventory","شريط إعلانات وتنقل وبانرات رئيسية وروابط اجتماعية وتخطيط قابل للتخصيص.","شريط إعلانات وتنقل وبانرات رئيسية وروابط اجتماعية وتخطيط قابل للتخصيص.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-3:en","src/content/landing.json","sell.details.sell-detail-3","en","sell detail disclosure or source inventory","Product search and suggestions; category trees; option filters; sorting; pagination; grid, row, and immersive views; URL-backed shareable catalog state; and remembered filters.","Product search and suggestions; category trees; option filters; sorting; pagination; grid, row, and immersive views; URL-backed shareable catalog state; and remembered filters.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-3:ar","src/content/landing.json","sell.details.sell-detail-3","ar","sell detail disclosure or source inventory","بحث واقتراحات؛ شجرة فئات؛ فلاتر للخيارات؛ ترتيب؛ تقسيم صفحات؛ عرض شبكي أو صفّي أو غامر؛ حالة كتالوج محفوظة في الرابط وقابلة للمشاركة؛ وتذكّر الفلاتر.","بحث واقتراحات؛ شجرة فئات؛ فلاتر للخيارات؛ ترتيب؛ تقسيم صفحات؛ عرض شبكي أو صفّي أو غامر؛ حالة كتالوج محفوظة في الرابط وقابلة للمشاركة؛ وتذكّر الفلاتر.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-4:en","src/content/landing.json","sell.details.sell-detail-4","en","sell detail disclosure or source inventory","Product cards, quick view, galleries, variant and option selection, effective pricing, live orderable quantity, ratings, reviews, recommendations, and recently viewed products.","Product cards, quick view, galleries, variant and option selection, effective pricing, live orderable quantity, ratings, reviews, recommendations, and recently viewed products.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-4:ar","src/content/landing.json","sell.details.sell-detail-4","ar","sell detail disclosure or source inventory","بطاقات المنتجات والمعاينة السريعة ومعارض الصور واختيار التركيبات والخيارات والأسعار الفعلية والكمية المتاحة للطلب والتقييمات والمراجعات والتوصيات والمنتجات المشاهدة أخيراً.","بطاقات المنتجات والمعاينة السريعة ومعارض الصور واختيار التركيبات والخيارات والأسعار الفعلية والكمية المتاحة للطلب والتقييمات والمراجعات والتوصيات والمنتجات المشاهدة أخيراً.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-5:en","src/content/landing.json","sell.details.sell-detail-5","en","sell detail disclosure or source inventory","Bundle pages with tier pricing and availability-safe cart insertion.","Bundle pages with tier pricing and availability-safe cart insertion.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-5:ar","src/content/landing.json","sell.details.sell-detail-5","ar","sell detail disclosure or source inventory","صفحات باقات بأسعار شرائح وإضافة إلى السلة تراعي التوفر الفعلي.","صفحات باقات بأسعار شرائح وإضافة إلى السلة تراعي التوفر الفعلي.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-6:en","src/content/landing.json","sell.details.sell-detail-6","en","sell detail disclosure or source inventory","Persistent Store-scoped cart, quantity changes, combo-offer detection, authoritative line and stock reconciliation, and coupons.","Persistent Store-scoped cart, quantity changes, combo-offer detection, authoritative line and stock reconciliation, and coupons.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-6:ar","src/content/landing.json","sell.details.sell-detail-6","ar","sell detail disclosure or source inventory","سلة محفوظة خاصة بكل متجر وتعديل الكميات واكتشاف العروض المجمعة ومراجعة موثوقة لبنود السلة والمخزون والكوبونات.","سلة محفوظة خاصة بكل متجر وتعديل الكميات واكتشاف العروض المجمعة ومطابقة بنود السلة والمخزون مع بيانات الخادم والكوبونات.","reviewed","found","Vague claim: “مراجعة موثوقة” does not identify what the system checks.","Name reconciliation of cart lines and stock against server data.","pass","","Source audit; rendered locale and state checks."
"sell-detail-7:en","src/content/landing.json","sell.details.sell-detail-7","en","sell detail disclosure or source inventory","Staged checkout with saved or new addresses, Egyptian governorate and area shipping, configured shipping and tax, cash on delivery where enabled, server-authoritative totals, indivisible order placement, and protection when customers compete for the last unit.","Staged checkout with saved or new addresses, Egyptian governorate and area shipping, configured shipping and tax, cash on delivery where enabled, server-authoritative totals, indivisible order placement, and protection when customers compete for the last unit.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-7:ar","src/content/landing.json","sell.details.sell-detail-7","ar","sell detail disclosure or source inventory","دفع على مراحل بعناوين محفوظة أو جديدة وشحن حسب المحافظة والمنطقة وإعدادات الشحن والضريبة والدفع عند الاستلام عند تفعيله وإجماليات يحسبها الخادم وإنشاء الطلب كوحدة واحدة وحماية عند محاولة أكثر من عميل شراء آخر قطعة.","إتمام الشراء على مراحل بعناوين محفوظة أو جديدة وشحن حسب المحافظة والمنطقة وإعدادات الشحن والضريبة والدفع عند الاستلام عند تفعيله وإجماليات يحسبها الخادم وإنشاء الطلب كوحدة واحدة وحماية عند محاولة أكثر من عميل شراء آخر قطعة.","reviewed","found","Terminology drift: “دفع على مراحل” describes staged payment rather than staged checkout.","Use “إتمام الشراء على مراحل” for the checkout flow.","pass","","Source audit; rendered locale and state checks."
"sell-detail-8:en","src/content/landing.json","sell.details.sell-detail-8","en","sell detail disclosure or source inventory","Confirmation, customer order lookup, abandoned-checkout capture, recovery-token restoration, recovery status, and email-attempt timestamps. Actual email delivery requires configured provider and worker infrastructure.","Confirmation, customer order lookup, abandoned-checkout capture, recovery-token restoration, recovery status, and email-attempt timestamps. Actual email delivery requires configured provider and worker infrastructure.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-8:ar","src/content/landing.json","sell.details.sell-detail-8","ar","sell detail disclosure or source inventory","تأكيد الطلب وبحث العميل عن طلبه وحفظ عملية الدفع المتروكة واستعادتها برمز مخصص ومتابعة حالة الاستعادة وتوقيت محاولات البريد. يتطلب إرسال البريد فعلياً إعداد مزود الخدمة وعمليات الخلفية.","تأكيد الطلب وبحث العميل عن طلبه وحفظ عملية الدفع المتروكة واستعادتها برمز مخصص ومتابعة حالة الاستعادة وتوقيت محاولات البريد. يتطلب إرسال البريد فعلياً إعداد مزود الخدمة وعمليات الخلفية.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-9:en","src/content/landing.json","sell.details.sell-detail-9","en","sell detail disclosure or source inventory","Favorites, including guest favorites merged into the customer's Store account after sign-in.","Favorites, including guest favorites merged into the customer's Store account after sign-in.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-detail-9:ar","src/content/landing.json","sell.details.sell-detail-9","ar","sell detail disclosure or source inventory","المفضلة، بما فيها دمج اختيارات الزائر في حسابه الخاص بالمتجر بعد تسجيل الدخول.","المفضلة، بما فيها دمج اختيارات الزائر في حسابه الخاص بالمتجر بعد تسجيل الدخول.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-eyebrow:en","src/content/landing.json","catalog.eyebrow","en","catalog section","Shape the offer","Shape the offer","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-eyebrow:ar","src/content/landing.json","catalog.eyebrow","ar","catalog section","صمّم عرضك التجاري","صمّم عرضك التجاري","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-heading:en","src/content/landing.json","catalog.heading","en","catalog section","From a single product to a catalog with variants and bundles.","From a single product to a catalog with variants and bundles.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-heading:ar","src/content/landing.json","catalog.heading","ar","catalog section","من منتج واحد إلى كتالوج يضم الخيارات والباقات.","من منتج واحد إلى كتالوج يضم الخيارات والباقات.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-body:en","src/content/landing.json","catalog.body","en","catalog section","Build a bilingual catalog, reuse option groups, generate variant combinations, connect every sellable choice to the right inventory, and merchandise products through categories, images, bundles, offers, banners, and reviews.","Build a bilingual catalog, reuse option groups, generate variant combinations, connect every sellable choice to the right inventory, and merchandise products through categories, images, bundles, offers, banners, and reviews.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-body:ar","src/content/landing.json","catalog.body","ar","catalog section","أنشئ كتالوجاً ثنائي اللغة، وأعد استخدام مجموعات الخيارات، وولّد تركيبات المنتجات، واربط كل اختيار قابل للبيع بمخزونه الصحيح، ثم اعرضه بالفئات والصور والباقات والعروض والبانرات والمراجعات.","أنشئ كتالوجاً ثنائي اللغة، وأعد استخدام مجموعات الخيارات، وولّد تركيبات المنتجات، واربط كل اختيار قابل للبيع بمخزونه الصحيح، ثم اعرضه بالفئات والصور والباقات والعروض والبانرات والمراجعات.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-premise:en","src/content/landing.json","catalog.premise","en","catalog section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"catalog-premise:ar","src/content/landing.json","catalog.premise","ar","catalog section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"catalog-detail-1:en","src/content/landing.json","catalog.details.catalog-detail-1","en","catalog detail disclosure or source inventory","Product search, status, create, edit, draft delete, hard delete, and CSV preview/import/export.","Product search, status, create, edit, draft delete, hard delete, and CSV preview/import/export.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-detail-1:ar","src/content/landing.json","catalog.details.catalog-detail-1","ar","catalog detail disclosure or source inventory","البحث عن المنتجات وحالاتها وإنشاؤها وتعديلها وحذف المسودة أو الحذف النهائي ومعاينة CSV واستيراده وتصديره.","البحث عن المنتجات وحالاتها وإنشاؤها وتعديلها وحذف المسودة أو الحذف النهائي ومعاينة CSV واستيراده وتصديره.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-detail-2:en","src/content/landing.json","catalog.details.catalog-detail-2","en","catalog detail disclosure or source inventory","Arabic and English product names and descriptions.","Arabic and English product names and descriptions.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"catalog-detail-2:ar","src/content/landing.json","catalog.details.catalog-detail-2","ar","catalog detail disclosure or source inventory","أسماء وأوصاف المنتجات بالعربية والإنجليزية.","أسماء وأوصاف المنتجات بالعربية والإنجليزية.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
